iter	Passed	Remaining
0	1	118
1	2	112
2	3	108
3	4	107
4	5	107
5	6	107
6	7	104
7	9	105
8	10	104
9	11	102
10	12	103
11	14	104
12	15	103
13	16	103
14	17	101
15	19	100
16	20	99
17	21	97
18	22	95
19	23	94
20	24	92
21	25	91
22	27	90
23	28	89
24	29	88
25	30	86
26	31	85
27	32	84
28	34	83
29	35	82
30	36	80
31	37	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	73
37	44	71
38	45	70
39	46	69
40	47	67
41	47	65
42	48	64
43	49	62
44	50	61
45	50	59
46	51	58
47	52	57
48	53	55
49	54	54
50	56	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	68	37
65	70	36
66	71	35
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	76	28
73	77	27
74	78	26
75	79	24
76	79	23
77	81	22
78	82	21
79	82	20
80	84	19
81	85	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	101	2
98	102	1
99	103	0
